Sexo, Ano, Local,"Valor"
Total,2016,Brasil,"4,4"
Total,2016,Norte,"6,3"
Total,2016,Nordeste,"4,5"
Total,2016,Sudeste,"3,9"
Total,2016,Sul,"4,5"
Total,2016,Centro-Oeste,"5,6"
Total,2016,Rondônia,"6,6"
Total,2016,Acre,"10,5"
Total,2016,Amazonas,"7,5"
Total,2016,Roraima,"8,4"
Total,2016,Pará,"5,4"
Total,2016,Amapá,"6,7"
Total,2016,Tocantins,"5,0"
Total,2016,Maranhão,"4,1"
Total,2016,Piauí,"4,8"
Total,2016,Ceará,"4,3"
Total,2016,Rio Grande do Norte,"4,5"
Total,2016,Paraíba,"5,0"
Total,2016,Pernambuco,"3,6"
Total,2016,Alagoas,"4,8"
Total,2016,Sergipe,"4,1"
Total,2016,Bahia,"5,2"
Total,2016,Minas Gerais,"4,5"
Total,2016,Espírito Santo,"4,2"
Total,2016,Rio de Janeiro,"3,2"
Total,2016,São Paulo,"""3,9"
Total,2016,Paraná,"4,1"
"Total","2016","Santa Catarina","4,4"
"Total","2016","Rio Grande do Sul","4,9"
"Total","2016","Mato Grosso do Sul","6,0"
"Total","2016","Mato Grosso","5,9"
"Total","2016","Goiás","4,8"
"Total","2016","Distrito Federal","6,8"
"Total","2016","Porto Velho (RO)","10,5"
"Total","2016","Rio Branco (AC)","10,8"
"Total","2016","Manaus (AM)","8,9"
"Total","2016","Boa Vista (RR)","9,1"
"Total","2016","Belém (PA)","6,4"
"Total","2016","Macapá (AP)","7,7"
"Total","2016","Palmas (TO)","8,7"
"Total","2016","São Luís (MA)","6,6"
"Total","2016","Teresina (PI)","6,3"
"Total","2016","Fortaleza (CE)","6,2"
"Total","2016","Natal (RN)","5,2"
"Total","2016","João Pessoa (PB)","7,1"
"Total","2016","Recife (PE)","5,7"
"Total","2016","Maceió (AL)","5,3"
"Total","2016","Aracaju (SE)","5,5"
"Total","2016","Salvador (BA)","8,3"
"Total","2016","Belo Horizonte (MG)","7,4"
"Total","2016","Vitória (ES)","6,2"
"Total","2016","Rio de Janeiro (RJ)","3,2"
"Total","2016","São Paulo (SP)","4,7"
"Total","2016","Curitiba (PR)","5,9"
"Total","2016","Florianópolis (SC)","7,6"
"Total","2016","Porto Alegre (RS)","8,5"
"Total","2016","Campo Grande (MS)","7,1"
"Total","2016","Cuiabá (MT)","8,3"
"Total","2016","Goiânia (GO)","6,4"
"Total","2016","Brasília (DF)","6,8"
"Total","2016","Manaus (AM)","8,5"
"Total","2016","Belém (PA)","6,7"
"Total","2016","Macapá (AP)","7,5"
"Total","2016","Grande São Luís (MA)","5,8"
"Total","2016","Fortaleza (CE)","5,4"
"Total","2016","Natal (RN)","5,0"
"Total","2016","João Pessoa (PB)","5,9"
"Total","2016","Recife (PE)","4,0"
"Total","2016","Maceió (AL)","5,0"
"Total","2016","Aracaju (SE)","5,9"
"Total","2016","Salvador (BA)","7,6"
"Total","2016","Belo Horizonte (MG)","6,1"
"Total","2016","Grande Vitória (ES)","5,4"
"Total","2016","Rio de Janeiro (RJ)","3,1"
"Total","2016","São Paulo (SP)","4,5"
"Total","2016","Curitiba (PR)","4,8"
"Total","2016","Florianópolis (SC)","6,5"
"Total","2016","Porto Alegre (RS)","5,9"
"Total","2016","Vale do Rio Cuiabá (MT)","7,1"
"Total","2016","Goiânia (GO)","5,4"
"Total","2016","Grande Teresina","6,0"
"Total","2017","Brasil","4,5"
"Total","2017","Norte","6,1"
"Total","2017","Nordeste","4,5"
"Total","2017","Sudeste","4,0"
"Total","2017","Sul","4,7"
"Total","2017","Centro-Oeste","5,5"
"Total","2017","Rondônia","5,1"
"Total","2017","Acre","8,3"
"Total","2017","Amazonas","6,9"
"Total","2017","Roraima","8,1"
"Total","2017","Pará","5,6"
"Total","2017","Amapá","8,5"
"Total","2017","Tocantins","5,0"
"Total","2017","Maranhão","4,2"
"Total","2017","Piauí","5,1"
"Total","2017","Ceará","4,4"
"Total","2017","Rio Grande do Norte","4,6"
"Total","2017","Paraíba","5,3"
"Total","2017","Pernambuco","3,5"
"Total","2017","Alagoas","4,6"
"Total","2017","Sergipe","4,9"
"Total","2017","Bahia","4,7"
"Total","2017","Minas Gerais","4,3"
"Total","2017","Espírito Santo","4,4"
"Total","2017","Rio de Janeiro","3,6"
"Total","2017","São Paulo","4,0"
"Total","2017","Paraná","4,8"
"Total","2017","Santa Catarina","4,7"
"Total","2017","Rio Grande do Sul","4,7"
"Total","2017","Mato Grosso do Sul","5,8"
"Total","2017","Mato Grosso","6,4"
"Total","2017","Goiás","4,5"
"Total","2017","Distrito Federal","6,4"
"Total","2017","Porto Velho (RO)","8,4"
"Total","2017","Rio Branco (AC)","10,4"
"Total","2017","Manaus (AM)","8,0"
"Total","2017","Boa Vista (RR)","9,4"
"Total","2017","Belém (PA)","6,7"
"Total","2017","Macapá (AP)","9,9"
"Total","2017","Palmas (TO)","10,3"
"Total","2017","São Luís (MA)","5,6"
"Total","2017","Teresina (PI)","7,0"
"Total","2017","Fortaleza (CE)","5,6"
"Total","2017","Natal (RN)","6,6"
"Total","2017","João Pessoa (PB)","8,6"
"Total","2017","Recife (PE)","6,6"
"Total","2017","Maceió (AL)","5,1"
"Total","2017","Aracaju (SE)","8,0"
"Total","2017","Salvador (BA)","7,5"
"Total","2017","Belo Horizonte (MG)","6,9"
"Total","2017","Vitória (ES)","8,0"
"Total","2017","Rio de Janeiro (RJ)","4,3"
"Total","2017","São Paulo (SP)","5,0"
"Total","2017","Curitiba (PR)","7,3"
"Total","2017","Florianópolis (SC)","8,3"
"Total","2017","Porto Alegre (RS)","8,6"
"Total","2017","Campo Grande (MS)","7,8"
"Total","2017","Cuiabá (MT)","8,6"
"Total","2017","Goiânia (GO)","7,2"
"Total","2017","Brasília (DF)","6,4"
"Total","2017","Manaus (AM)","7,8"
"Total","2017","Belém (PA)","7,2"
"Total","2017","Macapá (AP)","9,7"
"Total","2017","Grande São Luís (MA)","5,3"
"Total","2017","Fortaleza (CE)","5,3"
"Total","2017","Natal (RN)","6,1"
"Total","2017","João Pessoa (PB)","7,4"
"Total","2017","Recife (PE)","4,7"
"Total","2017","Maceió (AL)","4,6"
"Total","2017","Aracaju (SE)","6,9"
"Total","2017","Salvador (BA)","6,6"
"Total","2017","Belo Horizonte (MG)","6,1"
"Total","2017","Grande Vitória (ES)","5,6"
"Total","2017","Rio de Janeiro (RJ)","3,7"
"Total","2017","São Paulo (SP)","4,4"
"Total","2017","Curitiba (PR)","5,6"
"Total","2017","Florianópolis (SC)","7,9"
"Total","2017","Porto Alegre (RS)","5,7"
"Total","2017","Vale do Rio Cuiabá (MT)","7,5"
"Total","2017","Goiânia (GO)","5,9"
"Total","2017","Grande Teresina","7,0"
"Total","2018","Brasil","4,9"
"Total","2018","Norte","5,9"
"Total","2018","Nordeste","4,9"
"Total","2018","Sudeste","4,5"
"Total","2018","Sul","4,9"
"Total","2018","Centro-Oeste","5,7"
"Total","2018","Rondônia","5,0"
"Total","2018","Acre","8,9"
"Total","2018","Amazonas","6,3"
"Total","2018","Roraima","7,1"
"Total","2018","Pará","5,7"
"Total","2018","Amapá","6,7"
"Total","2018","Tocantins","5,2"
"Total","2018","Maranhão","4,7"
"Total","2018","Piauí","5,4"
"Total","2018","Ceará","5,1"
"Total","2018","Rio Grande do Norte","5,1"
"Total","2018","Paraíba","5,1"
"Total","2018","Pernambuco","4,1"
"Total","2018","Alagoas","4,5"
"Total","2018","Sergipe","4,0"
"Total","2018","Bahia","5,5"
"Total","2018","Minas Gerais","4,5"
"Total","2018","Espírito Santo","4,5"
"Total","2018","Rio de Janeiro","4,4"
"Total","2018","São Paulo","4,6"
"Total","2018","Paraná","4,9"
"Total","2018","Santa Catarina","4,9"
"Total","2018","Rio Grande do Sul","4,8"
"Total","2018","Mato Grosso do Sul","5,4"
"Total","2018","Mato Grosso","7,0"
"Total","2018","Goiás","4,7"
"Total","2018","Distrito Federal","6,6"
"Total","2018","Porto Velho (RO)","7,1"
"Total","2018","Rio Branco (AC)","10,8"
"Total","2018","Manaus (AM)","7,3"
"Total","2018","Boa Vista (RR)","7,8"
"Total","2018","Belém (PA)","8,0"
"Total","2018","Macapá (AP)","8,9"
"Total","2018","Palmas (TO)","10,1"
"Total","2018","São Luís (MA)","8,5"
"Total","2018","Teresina (PI)","7,4"
"Total","2018","Fortaleza (CE)","6,8"
"Total","2018","Natal (RN)","6,6"
"Total","2018","João Pessoa (PB)","8,4"
"Total","2018","Recife (PE)","6,4"
"Total","2018","Maceió (AL)","5,1"
"Total","2018","Aracaju (SE)","6,1"
"Total","2018","Salvador (BA)","9,6"
"Total","2018","Belo Horizonte (MG)","7,6"
"Total","2018","Vitória (ES)","7,3"
"Total","2018","Rio de Janeiro (RJ)","5,3"
"Total","2018","São Paulo (SP)","5,7"
"Total","2018","Curitiba (PR)","7,1"
"Total","2018","Florianópolis (SC)","7,9"
"Total","2018","Porto Alegre (RS)","8,5"
"Total","2018","Campo Grande (MS)","6,5"
"Total","2018","Cuiabá (MT)","8,9"
"Total","2018","Goiânia (GO)","6,0"
"Total","2018","Brasília (DF)","6,6"
"Total","2018","Manaus (AM)","7,1"
"Total","2018","Belém (PA)","7,7"
"Total","2018","Macapá (AP)","7,9"
"Total","2018","Grande São Luís (MA)","7,3"
"Total","2018","Fortaleza (CE)","6,2"
"Total","2018","Natal (RN)","6,6"
"Total","2018","João Pessoa (PB)","6,9"
"Total","2018","Recife (PE)","4,9"
"Total","2018","Maceió (AL)","4,4"
"Total","2018","Aracaju (SE)","5,7"
"Total","2018","Salvador (BA)","8,2"
"Total","2018","Belo Horizonte (MG)","6,2"
"Total","2018","Grande Vitória (ES)","5,8"
"Total","2018","Rio de Janeiro (RJ)","4,7"
"Total","2018","São Paulo (SP)","5,2"
"Total","2018","Curitiba (PR)","5,3"
"Total","2018","Florianópolis (SC)","7,0"
"Total","2018","Porto Alegre (RS)","6,2"
"Total","2018","Vale do Rio Cuiabá (MT)","8,1"
"Total","2018","Goiânia (GO)","5,6"
"Total","2018","Grande Teresina","7,1"
"Total","2019","Brasil","4,8"
"Total","2019","Norte","5,5"
"Total","2019","Nordeste","4,8"
"Total","2019","Sudeste","4,4"
"Total","2019","Sul","5,0"
"Total","2019","Centro-Oeste","5,9"
"Total","2019","Rondônia","6,2"
"Total","2019","Acre","7,2"
"Total","2019","Amazonas","6,1"
"Total","2019","Roraima","7,4"
"Total","2019","Pará","5,2"
"Total","2019","Amapá","5,4"
"Total","2019","Tocantins","3,8"
"Total","2019","Maranhão","4,9"
"Total","2019","Piauí","5,2"
"Total","2019","Ceará","4,6"
"Total","2019","Rio Grande do Norte","5,7"
"Total","2019","Paraíba","4,9"
"Total","2019","Pernambuco","4,1"
"Total","2019","Alagoas","4,6"
"Total","2019","Sergipe","4,4"
"Total","2019","Bahia","5,0"
"Total","2019","Minas Gerais","4,8"
"Total","2019","Espírito Santo","4,5"
"Total","2019","Rio de Janeiro","4,3"
"Total","2019","São Paulo","4,3"
"Total","2019","Paraná","5,1"
"Total","2019","Santa Catarina","4,6"
"Total","2019","Rio Grande do Sul","5,0"
"Total","2019","Mato Grosso do Sul","5,9"
"Total","2019","Mato Grosso","6,2"
"Total","2019","Goiás","4,9"
"Total","2019","Distrito Federal","7,9"
"Total","2019","Porto Velho (RO)","7,7"
"Total","2019","Rio Branco (AC)","9,0"
"Total","2019","Manaus (AM)","7,0"
"Total","2019","Boa Vista (RR)","8,2"
"Total","2019","Belém (PA)","6,8"
"Total","2019","Macapá (AP)","6,1"
"Total","2019","Palmas (TO)","7,8"
"Total","2019","São Luís (MA)","6,4"
"Total","2019","Teresina (PI)","7,6"
"Total","2019","Fortaleza (CE)","7,3"
"Total","2019","Natal (RN)","9,6"
"Total","2019","João Pessoa (PB)","7,2"
"Total","2019","Recife (PE)","6,2"
"Total","2019","Maceió (AL)","4,0"
"Total","2019","Aracaju (SE)","6,0"
"Total","2019","Salvador (BA)","8,7"
"Total","2019","Belo Horizonte (MG)","7,7"
"Total","2019","Vitória (ES)","8,3"
"Total","2019","Rio de Janeiro (RJ)","5,1"
"Total","2019","São Paulo (SP)","5,0"
"Total","2019","Curitiba (PR)","6,6"
"Total","2019","Florianópolis (SC)","8,8"
"Total","2019","Porto Alegre (RS)","7,8"
"Total","2019","Campo Grande (MS)","7,5"
"Total","2019","Cuiabá (MT)","6,9"
"Total","2019","Goiânia (GO)","6,0"
"Total","2019","Brasília (DF)","7,9"
"Total","2019","Manaus (AM)","6,7"
"Total","2019","Belém (PA)","7,2"
"Total","2019","Macapá (AP)","6,1"
"Total","2019","Grande São Luís (MA)","6,0"
"Total","2019","Fortaleza (CE)","6,1"
"Total","2019","Natal (RN)","8,1"
"Total","2019","João Pessoa (PB)","6,2"
"Total","2019","Recife (PE)","5,0"
"Total","2019","Maceió (AL)","3,7"
"Total","2019","Aracaju (SE)","5,7"
"Total","2019","Salvador (BA)","7,4"
"Total","2019","Belo Horizonte (MG)","6,1"
"Total","2019","Grande Vitória (ES)","5,5"
"Total","2019","Rio de Janeiro (RJ)","4,5"
"Total","2019","São Paulo (SP)","4,7"
"Total","2019","Curitiba (PR)","5,6"
"Total","2019","Florianópolis (SC)","7,4"
"Total","2019","Porto Alegre (RS)","5,8"
"Total","2019","Vale do Rio Cuiabá (MT)","6,6"
"Total","2019","Goiânia (GO)","6,1"
"Total","2019","Grande Teresina","7,0"
"Total","2022","Brasil","5,1"
"Total","2022","Norte","5,8"
"Total","2022","Nordeste","4,6"
"Total","2022","Sudeste","5,0"
"Total","2022","Sul","5,3"
"Total","2022","Centro-Oeste","5,7"
"Total","2022","Rondônia","5,8"
"Total","2022","Acre","6,0"
"Total","2022","Amazonas","6,9"
"Total","2022","Roraima","5,6"
"Total","2022","Pará","5,4"
"Total","2022","Amapá","5,6"
"Total","2022","Tocantins","5,9"
"Total","2022","Maranhão","4,1"
"Total","2022","Piauí","7,0"
"Total","2022","Ceará","4,7"
"Total","2022","Rio Grande do Norte","4,6"
"Total","2022","Paraíba","5,0"
"Total","2022","Pernambuco","3,9"
"Total","2022","Alagoas","5,5"
"Total","2022","Sergipe","4,1"
"Total","2022","Bahia","4,5"
"Total","2022","Minas Gerais","4,4"
"Total","2022","Espírito Santo","4,6"
"Total","2022","Rio de Janeiro","5,7"
"Total","2022","São Paulo","5,0"
"Total","2022","Paraná","5,0"
"Total","2022","Santa Catarina","5,2"
"Total","2022","Rio Grande do Sul","5,6"
"Total","2022","Mato Grosso do Sul","6,4"
"Total","2022","Mato Grosso","5,1"
"Total","2022","Goiás","4,9"
"Total","2022","Distrito Federal","8,1"
"Total","2022","Porto Velho (RO)","6,8"
"Total","2022","Rio Branco (AC)","6,6"
"Total","2022","Manaus (AM)","7,7"
"Total","2022","Boa Vista (RR)","6,4"
"Total","2022","Belém (PA)","8,0"
"Total","2022","Macapá (AP)","5,0"
"Total","2022","Palmas (TO)","9,9"
"Total","2022","São Luís (MA)","5,9"
"Total","2022","Teresina (PI)","8,0"
"Total","2022","Fortaleza (CE)","6,7"
"Total","2022","Natal (RN)","7,6"
"Total","2022","João Pessoa (PB)","6,6"
"Total","2022","Recife (PE)","5,9"
"Total","2022","Maceió (AL)","5,6"
"Total","2022","Aracaju (SE)","7,7"
"Total","2022","Salvador (BA)","5,4"
"Total","2022","Belo Horizonte (MG)","6,9"
"Total","2022","Vitória (ES)","7,4"
"Total","2022","Rio de Janeiro (RJ)","6,7"
"Total","2022","São Paulo (SP)","5,8"
"Total","2022","Curitiba (PR)","7,8"
"Total","2022","Florianópolis (SC)","9,1"
"Total","2022","Porto Alegre (RS)","8,4"
"Total","2022","Campo Grande (MS)","8,2"
"Total","2022","Cuiabá (MT)","4,9"
"Total","2022","Goiânia (GO)","5,4"
"Total","2022","Brasília (DF)","8,1"
"Total","2022","Manaus (AM)","7,5"
"Total","2022","Belém (PA)","7,3"
"Total","2022","Macapá (AP)","5,5"
"Total","2022","Grande São Luís (MA)","4,9"
"Total","2022","Fortaleza (CE)","5,8"
"Total","2022","Natal (RN)","5,6"
"Total","2022","João Pessoa (PB)","6,2"
"Total","2022","Recife (PE)","4,7"
"Total","2022","Maceió (AL)","5,6"
"Total","2022","Aracaju (SE)","6,3"
"Total","2022","Salvador (BA)","5,4"
"Total","2022","Belo Horizonte (MG)","6,1"
"Total","2022","Grande Vitória (ES)","6,3"
"Total","2022","Rio de Janeiro (RJ)","5,8"
"Total","2022","São Paulo (SP)","5,6"
"Total","2022","Curitiba (PR)","6,7"
"Total","2022","Florianópolis (SC)","7,2"
"Total","2022","Porto Alegre (RS)","7,4"
"Total","2022","Vale do Rio Cuiabá (MT)","5,0"
"Total","2022","Goiânia (GO)","5,0"
"Total","2022","Grande Teresina","6,9"
"Total","2023","Brasil","5,0"
"Total","2023","Norte","5,6"
"Total","2023","Nordeste","4,5"
"Total","2023","Sudeste","4,8"
"Total","2023","Sul","5,3"
"Total","2023","Centro-Oeste","6,0"
"Total","2023","Rondônia","5,6"
"Total","2023","Acre","5,1"
"Total","2023","Amazonas","6,1"
"Total","2023","Roraima","5,6"
"Total","2023","Pará","5,5"
"Total","2023","Amapá","4,8"
"Total","2023","Tocantins","5,1"
"Total","2023","Maranhão","4,3"
"Total","2023","Piauí","4,6"
"Total","2023","Ceará","4,4"
"Total","2023","Rio Grande do Norte","4,7"
"Total","2023","Paraíba","4,6"
"Total","2023","Pernambuco","3,9"
"Total","2023","Alagoas","6,4"
"Total","2023","Sergipe","4,4"
"Total","2023","Bahia","4,6"
"Total","2023","Minas Gerais","4,1"
"Total","2023","Espírito Santo","4,5"
"Total","2023","Rio de Janeiro","5,7"
"Total","2023","São Paulo","4,8"
"Total","2023","Paraná","5,4"
"Total","2023","Santa Catarina","5,1"
"Total","2023","Rio Grande do Sul","5,4"
"Total","2023","Mato Grosso do Sul","5,5"
"Total","2023","Mato Grosso","6,3"
"Total","2023","Goiás","4,9"
"Total","2023","Distrito Federal","8,7"
"Total","2023","Porto Velho (RO)","4,5"
"Total","2023","Rio Branco (AC)","5,7"
"Total","2023","Manaus (AM)","6,4"
"Total","2023","Boa Vista (RR)","5,9"
"Total","2023","Belém (PA)","6,7"
"Total","2023","Macapá (AP)","4,3"
"Total","2023","Palmas (TO)","8,9"
"Total","2023","São Luís (MA)","6,0"
"Total","2023","Teresina (PI)","5,9"
"Total","2023","Fortaleza (CE)","5,9"
"Total","2023","Natal (RN)","5,5"
"Total","2023","João Pessoa (PB)","7,4"
"Total","2023","Recife (PE)","6,1"
"Total","2023","Maceió (AL)","6,1"
"Total","2023","Aracaju (SE)","7,0"
"Total","2023","Salvador (BA)","6,6"
"Total","2023","Belo Horizonte (MG)","7,4"
"Total","2023","Vitória (ES)","7,8"
"Total","2023","Rio de Janeiro (RJ)","7,0"
"Total","2023","São Paulo (SP)","6,2"
"Total","2023","Curitiba (PR)","6,9"
"Total","2023","Florianópolis (SC)","9,7"
"Total","2023","Porto Alegre (RS)","8,8"
"Total","2023","Campo Grande (MS)","6,6"
"Total","2023","Cuiabá (MT)","7,1"
"Total","2023","Goiânia (GO)","4,9"
"Total","2023","Brasília (DF)","8,7"
"Total","2023","Manaus (AM)","6,2"
"Total","2023","Belém (PA)","6,5"
"Total","2023","Macapá (AP)","4,6"
"Total","2023","Grande São Luís (MA)","5,0"
"Total","2023","Fortaleza (CE)","5,2"
"Total","2023","Natal (RN)","5,4"
"Total","2023","João Pessoa (PB)","6,1"
"Total","2023","Recife (PE)","4,7"
"Total","2023","Maceió (AL)","6,2"
"Total","2023","Aracaju (SE)","5,8"
"Total","2023","Salvador (BA)","6,8"
"Total","2023","Belo Horizonte (MG)","6,0"
"Total","2023","Grande Vitória (ES)","5,7"
"Total","2023","Rio de Janeiro (RJ)","6,0"
"Total","2023","São Paulo (SP)","5,3"
"Total","2023","Curitiba (PR)","6,6"
"Total","2023","Florianópolis (SC)","7,5"
"Total","2023","Porto Alegre (RS)","7,0"
"Total","2023","Vale do Rio Cuiabá (MT)","5,9"
"Total","2023","Goiânia (GO)","4,6"
"Total","2023","Grande Teresina","5,5"
"Homens","2016","Brasil","3,9"
"Homens","2016","Norte","5,1"
"Homens","2016","Nordeste","3,5"
"Homens","2016","Sudeste","3,8"
"Homens","2016","Sul","4,1"
"Homens","2016","Centro-Oeste","4,8"
"Homens","2016","Rondônia","5,3"
"Homens","2016","Acre","9,6"
"Homens","2016","Amazonas","5,9"
"Homens","2016","Roraima","7,3"
"Homens","2016","Pará","4,3"
"Homens","2016","Amapá","5,0"
"Homens","2016","Tocantins","4,0"
"Homens","2016","Maranhão","3,2"
"Homens","2016","Piauí","3,6"
"Homens","2016","Ceará","3,7"
"Homens","2016","Rio Grande do Norte","3,8"
"Homens","2016","Paraíba","4,1"
"Homens","2016","Pernambuco","2,5"
"Homens","2016","Alagoas","3,7"
"Homens","2016","Sergipe","3,6"
"Homens","2016","Bahia","4,0"
"Homens","2016","Minas Gerais","4,2"
"Homens","2016","Espírito Santo","3,4"
"Homens","2016","Rio de Janeiro","3,3"
"Homens","2016","São Paulo","3,8"
"Homens","2016","Paraná","3,6"
"Homens","2016","Santa Catarina","4,2"
"Homens","2016","Rio Grande do Sul","4,6"
"Homens","2016","Mato Grosso do Sul","5,1"
"Homens","2016","Mato Grosso","4,1"
"Homens","2016","Goiás","4,4"
"Homens","2016","Distrito Federal","6,6"
"Homens","2016","Porto Velho (RO)","10,7"
"Homens","2016","Rio Branco (AC)","10,3"
"Homens","2016","Manaus (AM)","7,1"
"Homens","2016","Boa Vista (RR)","8,6"
"Homens","2016","Belém (PA)","6,5"
"Homens","2016","Macapá (AP)","5,9"
"Homens","2016","Palmas (TO)","7,9"
"Homens","2016","São Luís (MA)","7,4"
"Homens","2016","Teresina (PI)","5,8"
"Homens","2016","Fortaleza (CE)","5,7"
"Homens","2016","Natal (RN)","5,5"
"Homens","2016","João Pessoa (PB)","7,4"
"Homens","2016","Recife (PE)","4,5"
"Homens","2016","Maceió (AL)","4,7"
"Homens","2016","Aracaju (SE)","6,2"
"Homens","2016","Salvador (BA)","6,9"
"Homens","2016","Belo Horizonte (MG)","7,1"
"Homens","2016","Vitória (ES)","5,9"
"Homens","2016","Rio de Janeiro (RJ)","3,5"
"Homens","2016","São Paulo (SP)","4,7"
"Homens","2016","Curitiba (PR)","5,6"
"Homens","2016","Florianópolis (SC)","7,1"
"Homens","2016","Porto Alegre (RS)","9,3"
"Homens","2016","Campo Grande (MS)","6,2"
"Homens","2016","Cuiabá (MT)","6,3"
"Homens","2016","Goiânia (GO)","6,8"
"Homens","2016","Brasília (DF)","6,6"
"Homens","2016","Manaus (AM)","6,7"
"Homens","2016","Belém (PA)","6,3"
"Homens","2016","Macapá (AP)","6,0"
"Homens","2016","Grande São Luís (MA)","6,3"
"Homens","2016","Fortaleza (CE)","4,7"
"Homens","2016","Natal (RN)","4,4"
"Homens","2016","João Pessoa (PB)","6,0"
"Homens","2016","Recife (PE)","3,4"
"Homens","2016","Maceió (AL)","4,3"
"Homens","2016","Aracaju (SE)","5,8"
"Homens","2016","Salvador (BA)","6,1"
"Homens","2016","Belo Horizonte (MG)","5,7"
"Homens","2016","Grande Vitória (ES)","4,7"
"Homens","2016","Rio de Janeiro (RJ)","3,3"
"Homens","2016","São Paulo (SP)","4,4"
"Homens","2016","Curitiba (PR)","4,5"
"Homens","2016","Florianópolis (SC)","5,6"
"Homens","2016","Porto Alegre (RS)","5,6"
"Homens","2016","Vale do Rio Cuiabá (MT)","5,7"
"Homens","2016","Goiânia (GO)","5,3"
"Homens","2016","Grande Teresina","5,4"
"Homens","2017","Brasil","4,0"
"Homens","2017","Norte","4,9"
"Homens","2017","Nordeste","3,7"
"Homens","2017","Sudeste","3,8"
"Homens","2017","Sul","4,4"
"Homens","2017","Centro-Oeste","4,8"
"Homens","2017","Rondônia","4,2"
"Homens","2017","Acre","7,3"
"Homens","2017","Amazonas","5,7"
"Homens","2017","Roraima","6,4"
"Homens","2017","Pará","4,3"
"Homens","2017","Amapá","7,4"
"Homens","2017","Tocantins","4,0"
"Homens","2017","Maranhão","3,0"
"Homens","2017","Piauí","4,3"
"Homens","2017","Ceará","3,4"
"Homens","2017","Rio Grande do Norte","3,6"
"Homens","2017","Paraíba","4,7"
"Homens","2017","Pernambuco","3,1"
"Homens","2017","Alagoas","4,3"
"Homens","2017","Sergipe","4,9"
"Homens","2017","Bahia","4,0"
"Homens","2017","Minas Gerais","3,7"
"Homens","2017","Espírito Santo","4,1"
"Homens","2017","Rio de Janeiro","3,9"
"Homens","2017","São Paulo","3,7"
"Homens","2017","Paraná","4,5"
"Homens","2017","Santa Catarina","4,3"
"Homens","2017","Rio Grande do Sul","4,2"
"Homens","2017","Mato Grosso do Sul","5,2"
"Homens","2017","Mato Grosso","5,2"
"Homens","2017","Goiás","4,1"
"Homens","2017","Distrito Federal","5,7"
"Homens","2017","Porto Velho (RO)","8,0"
