Atividade, Total,Homem,Mulher,Ano 
ATIVIDADES IMOBILIÁRIAS,  9 862 ,  13 177 ,  4 909 ,2018
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",  9 620 ,  11 401 ,  7 527 ,2018
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,  6 571 ,  6 886 ,  6 203 ,2018
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",  6 810 ,  7 592 ,  5 541 ,2018
EDUCAÇÃO,  6 772 ,  9 066 ,  5 648 ,2018
SAÚDE HUMANA E SERVIÇOS SOCIAIS,  6 650 ,  8 488 ,  5 369 ,2018
"ALOJAMENTO E ALIMENTAÇÃO; ARTES, CULTURA, ESPORTE E RECREAÇÃO; OUTRAS ATIVIDADES DE SERVIÇOS",  5 985 ,  7 406 ,  3 556 ,2018
Total,  8 465 ,  9 825 ,  6 096, 2019
" AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",  7 231 ,  7 368 ,  6 325 , 2019
" INDÚSTRIAS EXTRATIVAS; INDÚSTRIAS DE TRANSFORMAÇÃO; ELETRICIDADE E GÁS",  9 063 ,  10 257 ,  5 842 , 2019
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",  4 487 ,  4 498 ,  4 459 , 2019
CONSTRUÇÃO,  13 257 ,  13 853 ,  11 047 , 2019
COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,  6 669 ,  7 669 ,  4 920 , 2019
" TRANSPORTE, ARMAZENAGEM E CORREIO",  6 846 ,  7 055 ,  6 007 , 2019
 INFORMAÇÃO E COMUNICAÇÃO,  12 898 ,  14 228 ,  9 035 , 2019
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",  9 107 ,  11 022 ,  6 583 , 2019
ATIVIDADES IMOBILIÁRIAS,  8 922 ,  10 916 ,  6 158 , 2019
" ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",  12 380 ,  14 205 ,  9 281 , 2019
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,  9 197 ,  10 893 ,  6 778 , 2019
" ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",  6 747 ,  6 865 ,  6 567 , 2019
 EDUCAÇÃO,  6 249 ,  8 014 ,  5 222 , 2019
 SAÚDE HUMANA E SERVIÇOS SOCIAIS,  10 650 ,  20 776 ,  5 252 , 2019
" ALOJAMENTO E ALIMENTAÇÃO; ARTES, CULTURA, ESPORTE E RECREAÇÃO; OUTRAS ATIVIDADES DE SERVIÇOS",  4 458 ,  4 951 ,  3 879, 2019 
Total,  9 140 ,  10 592 ,  6 525 , 2020
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",  7 139 ,  7 396 ,  5 517 , 2020
" INDÚSTRIAS EXTRATIVAS; INDÚSTRIAS DE TRANSFORMAÇÃO; ELETRICIDADE E GÁS",  10 328 ,  11 796 ,  5 845 , 2020
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",  10 627 ,  11 754 ,  5 167 , 2020
CONSTRUÇÃO,  8 964 ,  9 840 ,  5 913 , 2020
 COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,  7 804 ,  9 676 ,  4 631 , 2020
"TRANSPORTE, ARMAZENAGEM E CORREIO",  9 744 ,  10 608 ,  6 233 , 2020
INFORMAÇÃO E COMUNICAÇÃO,  11 151 ,  11 809 ,  9 334 , 2020
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",  10 248 ,  11 825 ,  8 139 , 2020
ATIVIDADES IMOBILIÁRIAS,  12 492 ,  15 104 ,  7 749 , 2020
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",  11 086 ,  12 244 ,  9 013 , 2020
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,  6 457 ,  6 551 ,  6 341 , 2020
" ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",  6 779 ,  7 299 ,  5 787 , 2020
EDUCAÇÃO,  7 947 ,  8 999 ,  7 479 , 2020
SAÚDE HUMANA E SERVIÇOS SOCIAIS,  13 086 ,  24 971 ,  5 671 , 2020
" ALOJAMENTO E ALIMENTAÇÃO; ARTES, CULTURA, ESPORTE E RECREAÇÃO; OUTRAS ATIVIDADES DE SERVIÇOS",  5 644 ,  5 556 ,  5 758 , 2020
Total,  8 286 ,  9 431 ,  6 145, 2021
" AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",  6 160 ,  5 402 ,  11 866 , 2021
" INDÚSTRIAS EXTRATIVAS; INDÚSTRIAS DE TRANSFORMAÇÃO; ELETRICIDADE E GÁS",  8 715 ,  9 736 ,  6 260 , 2021
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",  14 436 ,  15 679 ,  3 688 , 2021
CONSTRUÇÃO,  8 457 ,  8 807 ,  7 111 , 2021
COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,  6 878 ,  7 032 ,  6 633 , 2021
" TRANSPORTE, ARMAZENAGEM E CORREIO",  6 505 ,  7 115 ,  4 021 , 2021
INFORMAÇÃO E COMUNICAÇÃO,  13 974 ,  15 837 ,  7 310 , 2021
" ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",  10 235 ,  12 125 ,  7 525 , 2021
 ATIVIDADES IMOBILIÁRIAS,  5 702 ,  5 595 ,  5 894 , 2021
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",  9 834 ,  12 211 ,  5 312 , 2021
 ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,  7 880 ,  8 655 ,  6 197 , 2021
" ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",  7 310 ,  7 340 ,  7 249 , 2021
EDUCAÇÃO,  7 069 ,  10 161 ,  5 038 , 2021
SAÚDE HUMANA E SERVIÇOS SOCIAIS,  5 279 ,  7 631 ,  3 233 , 2021
" ALOJAMENTO E ALIMENTAÇÃO; ARTES, CULTURA, ESPORTE E RECREAÇÃO; OUTRAS ATIVIDADES DE SERVIÇOS",  7 255 ,  9 356 ,  4 799 , 2021
Total,  7 679 ,  8 378 ,  6 600, 2022
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",  4 656 ,  4 456 ,  5 733 , 2022
"INDÚSTRIAS EXTRATIVAS; INDÚSTRIAS DE TRANSFORMAÇÃO; ELETRICIDADE E GÁS",  7 578 ,  8 103 ,  6 411 , 2022
" ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",  6 462 ,  6 345 ,  6 944 , 2022
CONSTRUÇÃO,  9 121 ,  10 026 ,  6 593 , 2022
COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,  5 982 ,  6 007 ,  5 936 , 2022
" TRANSPORTE, ARMAZENAGEM E CORREIO",  9 352 ,  10 419 ,  5 333 , 2022
INFORMAÇÃO E COMUNICAÇÃO,  11 176 ,  11 204 ,  11 111 , 2022
" ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",  9 398 ,  11 182 ,  7 486 , 2022
ATIVIDADES IMOBILIÁRIAS,  8 470 ,  10 202 ,  6 377 , 2022
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",  7 548 ,  8 718 ,  6 547 , 2022
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,  9 634 ,  9 385 ,  10 086 , 2022
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",  6 654 ,  7 030 ,  5 963 , 2022
EDUCAÇÃO,  6 106 ,  7 145 ,  5 647 , 2022
SAÚDE HUMANA E SERVIÇOS SOCIAIS,  6 231 ,  8 564 ,  5 213 , 2022
" ALOJAMENTO E ALIMENTAÇÃO; ARTES, CULTURA, ESPORTE E RECREAÇÃO; OUTRAS ATIVIDADES DE SERVIÇOS",  5 468 ,  5 534 ,  5 358 , 2022
